[21-May-2025 15:25:41 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED1':'OFF'}, Device: Light1
[21-May-2025 15:25:46 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED3':'ON'}, Device: Light3
[21-May-2025 15:25:48 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED3':'OFF'}, Device: Light3
[21-May-2025 15:25:52 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED2':'ON'}, Device: Light2
[21-May-2025 15:25:55 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED2':'OFF'}, Device: Light2
[21-May-2025 15:26:01 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED2':'ON'}, Device: Light2
[21-May-2025 15:26:06 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED2':'OFF'}, Device: Light2
[21-May-2025 15:30:02 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED2':'ON'}, Device: Light2
[21-May-2025 15:30:05 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED2':'OFF'}, Device: Light2
[21-May-2025 15:30:07 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED1':'ON'}, Device: Light1
[21-May-2025 15:30:14 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED1':'OFF'}, Device: Light1
[21-May-2025 15:35:01 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED2':'ON'}, Device: Light2
[21-May-2025 15:35:05 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED2':'OFF'}, Device: Light2
[21-May-2025 16:07:01 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED1':'ON'}, Device: Light1
[21-May-2025 16:07:03 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED1':'OFF'}, Device: Light1
[21-May-2025 16:44:18 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED1':'ON'}, Device: Light1
[21-May-2025 16:44:45 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED1':'OFF'}, Device: Light1
[22-May-2025 00:04:35 UTC] PHP Warning:  stream_socket_client(): Unable to connect to tcp://192.168.1.159:2003 (A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) in C:\laragon\www\IoT_PJ1\phpMqtt\phpMQTT.php on line 150
[22-May-2025 00:04:35 UTC] Error:stream_socket_create() 10060, A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond
[22-May-2025 00:04:35 UTC] MQTT connection failed
[22-May-2025 00:05:18 UTC] PHP Warning:  stream_socket_client(): Unable to connect to tcp://192.168.1.159:2003 (A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) in C:\laragon\www\IoT_PJ1\phpMqtt\phpMQTT.php on line 150
[22-May-2025 00:05:18 UTC] Error:stream_socket_create() 10060, A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond
[22-May-2025 00:05:18 UTC] MQTT connection failed
[22-May-2025 00:07:36 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED2':'ON'}, Device: Light2
[22-May-2025 00:07:38 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED2':'OFF'}, Device: Light2
[22-May-2025 00:07:43 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED1':'ON'}, Device: Light1
[22-May-2025 00:07:45 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED1':'OFF'}, Device: Light1
[22-May-2025 00:07:48 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED1':'OFF'}, Device: Light1
[22-May-2025 00:07:54 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED1':'ON'}, Device: Light1
[22-May-2025 00:07:56 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED1':'OFF'}, Device: Light1
[22-May-2025 00:07:58 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED1':'ON'}, Device: Light1
[22-May-2025 00:08:00 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED1':'OFF'}, Device: Light1
[22-May-2025 00:08:03 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED2':'ON'}, Device: Light2
[22-May-2025 00:08:06 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED2':'OFF'}, Device: Light2
[22-May-2025 00:08:09 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED3':'ON'}, Device: Light3
[22-May-2025 00:08:12 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED3':'OFF'}, Device: Light3
[22-May-2025 00:08:14 UTC] Publishing MQTT message - Topic: home/light1, Payload: {'LED3':'OFF'}, Device: Light3
